keyphrase,plan_count,highlight
risk assessment,9,
priority action,9,
average global,9,
extreme,9,
housing stock,9,
end,9,
well,9,
councils carbon,9,
urgent action,9,
councils emissions,9,
policy framework,9,
planning policy,9,
update report,9,
new homes,9,
develop plan,9,
retrofit,9,1
green recovery,9,1
developments,9,
local enterprise partnership,9,
sustainable future,8,
emissions council,8,
enabler,8,
continue,8,
sustainable procurement,8,
mitigate climate,8,
global issue,8,
target setting,8,
reporting,8,
additional benefits,8,
gases,8,
national,8,
recycling,8,
combined ity,8,
walking,8,
indirect,8,
deal,8,
aspects,8,
sustainable borough,8,
local energy,8,
average temperatures,8,
co benefits,8,
key issues,8,
committed,8,
resilient,8,
sustainability strategy,8,
electric charging points,8,
photovoltaic panels,8,
roadmap,8,
annual report,8,
conversion factors,8,
surface water,8,
electricity consumption,8,
kilowatt hour,8,
ev charging,8,
local nature partnership,8,
disposal,8,
cycling routes,8,
climate actions,8,
environment plan,8,
vehicle charging,8,
risks,8,
sector emissions,8,
per cent,8,
transport options,8,
council net,8,
council sustainability,8,
emissions data,8,
efficiency standards,8,
welsh,8,
greenhouse,8,
climate agreement,8,
feasibility studies,8,
kent county,8,
adaptation measures,8,
local plan review,8,
efficiency,8,
council procurement,8,
environment,8,
staff travel,8,
agile,8,
online,8,
mitigating climate,8,
energy use,8,
consideration,8,
national government,8,
carbon offset,8,1
carbon literacy,8,1
biodiversity action,7,
buildings,7,
battery storage,7,
run,7,
change declaration,7,
industrial levels,7,
methodology,7,
retrofit energy,7,
procurement,7,1
scotland,7,
management strategy,7,
put,7,
energy costs,7,
climate resilient,7,
reporting guidelines,7,
low carbon,7,
assessment,7,
implement,7,
aims,7,
costs,7,
dioxide emissions,7,
reduction pathways,7,1
energy sector,7,
ev charge points,7,
programme,7,
council decision,7,
propose,7,
council needs,7,
change duties,7,
council staff,7,
additional resources,7,
council budget,7,
assess,7,
use change,7,
total emissions,7,
framework convention,7,
natural flood management,7,
single use plastics,7,
temperature,7,
energy infrastructure,7,
community action,7,1
savings,7,
net carbon,7,
local flood risk,7,
energy usage,7,1
somerset climate emergency,7,
renewable electricity,7,
renewable,7,
incorporate,7,
electric vehicle infrastructure,7,
year plan,7,
contribute,7,
setting process,7,
emission reductions,7,
global temperatures,7,
uk carbon,7,
environment strategy,7,
more energy,7,
significant reductions,7,
surrey county,7,
low carbon economy,7,1
global temperature,7,
reduce reuse,7,
council role,7,
greener,7,
literacy training,7,
air pollution,7,
council action,7,
change reporting,7,
sustainable travel,7,
proportion,7,
reduction pathway,7,
development goals,7,
local air quality,7,
carbon dioxide,7,
water consumption,7,1
borough carbon,7,
global climate change,7,
scientific consensus,7,
go,7,
solar energy,7,1
dioxide levels,6,
use council,6,
community energy,6,
ecosystems,6,
clean air,6,1
housing strategy,6,
resource,6,
term actions,6,
transport plan,6,
industrial strategy,6,
green infrastructure strategy,6,
scottish government climate,6,
integrating,6,
carbon initiatives,6,
un,6,
use energy,6,
solar photovoltaic,6,
carbon budgeting,6,
increase tree,6,
solar,6,
scottish governments,6,
current levels,6,
renewable energy projects,6,
council assets,6,
cabinet date,6,
building control,6,
increase biodiversity,6,
mitigating,6,
wider borough,6,
energy consumption,6,
scottish,6,
level rise,6,
recovery,6,
parish councils,6,
industrial processes,6,
update,6,
energy storage,6,
environment act,6,
solid waste disposal,6,
carbon future,6,
commuting,6,
offset,6,
efficiency programme,6,
concentrations,6,
planting programme,6,
london boroughs,6,
low carbon heating,6,
kyoto protocol,6,
climate commitments,6,
climate challenge,6,
council projects,6,
buildings transport,6,
change objectives,6,
temperature increase,6,
hierarchy,6,
coral reefs,6,1
ecological emergency declaration,6,
utilities,6,
funding streams,6,
procurement process,6,
strategy implementation,6,
increased flooding,6,
cycling strategy,6,
other stakeholders,6,
council energy,6,
evaluate,6,
one,6,
council environment,6,
explore options,6,
support biodiversity,6,
emission,6,
produce,6,
emissions reporting,6,
domestic properties,6,1
reporting requirements,6,
quarterly basis,6,
alternatives,6,
engagement plan,6,
emergency declarations,6,
own estate,6,
energy transport,6,
nature recovery,6,
whilst,6,
significant changes,6,
offers,6,
national target,6,
energy needs,6,
resource requirements,6,
deliver,6,
local stakeholders,6,
low emission vehicles,6,1
development proposals,6,
local renewable,6,
local economy,6,
investment,6,
environmental services,6,
second,6,
development plan,6,
policy changes,6,
minimise waste,6,
habitats,6,
national adaptation programme,6,
green spaces,6,
change risk,6,
inequalities,5,
somerset,5,
animal species,5,
other councils,5,
council properties,5,
projects,5,
efficient homes,5,
neutral target,5,
employee commuting,5,
procurement processes,5,
strategy climate,5,
emissions targets,5,
city emissions,5,
dependency,5,
significant reduction,5,
emergency plan,5,
borough boundary,5,
deployment,5,
sustainable design,5,
community groups,5,
energy savings,5,
more trees,5,
energy hierarchy,5,
staff,5,
ongoing,5,
portfolio holder,5,
global climate emergency,5,
strategy page,5,
council policy,5,
low carbon future,5,
climate goals,5,
natural systems,5,
statutory climate change,5,
electricity gas,5,
climate crisis,5,
council vision,5,
sustainable modes,5,
strategic priorities,5,
health impacts,5,
balancing,5,
council reduce,5,
undertake,5,
government target,5,
year reduction,5,
grounds maintenance,5,
london borough,5,
monitoring,5,
organisation,5,
planning process,5,
additional actions,5,
stationary energy,5,
key,5,
infrastructure strategy,5,
report template,5,
financial implications,5,
change impacts,5,
irreversible damage,5,
lighting upgrades,5,
interim targets,5,
local government,5,
mileage claims,5,
change fund,5,
current rate,5,
low carbon transport,5,
total carbon budget,5,
encourage staff,5,
council priorities,5,
budgets,5,
local,5,
mechanisms,5,
renewable heat incentive,5,1
nitrous oxide,5,
dioxide equivalents,5,
total footprint,5,
making processes,5,
local climate action,5,
cost benefit,5,
litter picks,5,1
severe weather,5,1
change task,5,
efficiency projects,5,
low carbon solutions,5,
council website,5,
blue infrastructure,5,
municipal waste,5,
carbon reductions,5,
see,5,
corporate priorities,5,
council vehicles,5,
carbon economy,5,
carbon roadmap,5,
panel,5,
seek funding,5,
tree coverage,5,
car parks,5,
public buildings,5,
supplementary planning,5,
council ambition,5,
total carbon dioxide,5,
energy sources,5,
council scope,5,
carbon trust,5,
edinburgh,5,
transformational change,5,
change training,5,
cent reduction,5,
change carbon,5,
local cycling,5,
external wall insulation,5,1
become carbon,5,
invasive species,5,
human activities,5,
energy audits,5,
health benefits,5,
gap report,5,
policy context,5,
urgency,5,
uk greenhouse,5,
scotland climate,5,
risk register,5,
emergency,5,
council tax,5,
collaborating,5,
efficiencies,5,
mitigate,5,
national targets,5,
document,5,
proposals,5,
public bodies climate,5,
neutral council,5,
impact assessments,5,
undertake review,5,
commitment,5,
baseline data,5,
running costs,5,
uk grid,5,
future homes standard,5,1
leisure centre,5,
climate mitigation,5,
plan foreword,5,
energy measures,5,
business plan,5,
council waste,5,
change plan,5,
report templates,5,
indicators,5,
negative impacts,5,
cost,5,
sustainable council,5,
electrification,5,
sustainable communities,5,
council plans,5,
sustainable forms,5,
term,5,
demand reduction,5,
buildings energy,5,
local climate,5,
sector climate,5,
panels,5,
nations framework,5,
commissioning,5,
environmental impact,5,
gas reporting,5,
civic,5,
national policy,5,
risk management,5,
progress reports,5,
wellbeing benefits,5,
change officer,5,
integration,5,
transport system,5,
weather events,5,
council commitments,5,
scottish climate change,4,
management framework,4,
minimise emissions,4,
renewable energy tariff,4,
figure scope,4,
council performance,4,
communities organisations,4,
large scale projects,4,
community organisations,4,
staff mileage,4,
renewal,4,
actions,4,
property,4,
recovery plans,4,
city carbon,4,
changing,4,
scottish energy strategy,4,
consultation feedback,4,
solar panel installations,4,
fleet mileage,4,
woodland cover,4,
terms,4,
transport network,4,
heat pump,4,1
edinburgh council,4,
funding opportunities,4,
local government association,4,
priorities,4,
policy documents,4,
green homes,4,
temperatures,4,
local environment,4,
annual cost,4,
councils baseline,4,
potential,4,
public sector organisations,4,
county borough,4,
community resilience,4,
significant impact,4,
funding,4,
renewable energy installations,4,
sustainable economy,4,
urban heat island,4,
soil,4,
mitigation measures,4,
transport electricity,4,
strategies,4,
procurement strategy,4,
housing retrofit,4,
target,4,
reduces,4,
targets,4,
processes,4,
export,4,
key sectors,4,
encourage,4,
grant scheme,4,
public health,4,
council activity,4,
other measures,4,
leisure,4,
future generations act,4,
plans,4,
emissions strategy,4,
nature conservation,4,
facilitate,4,
theme transport,4,
greening,4,
clean energy,4,
leisure facilities,4,
cycle storage,4,
january,4,
woodland trust,4,
leisure centres,4,1
central government,4,
cabinet member,4,
district,4,
heat network,4,
policy change,4,
community transport,4,1
transport planning,4,
community projects,4,
recovery plan,4,
water supply,4,1
minimise,4,
building climate,4,
nature partnership,4,
cycle training,4,
electric vehicle,4,
economic growth,4,
sustainable environment,4,
waste hierarchy,4,
financial year,4,
property portfolio,4,
surrey climate,4,
reduction actions,4,
current council plan,4,
weather patterns,4,
policy development,4,
local energy advice,4,
intervention measures,4,
domestic buildings,4,
plan update,4,
total greenhouse gas,4,
organisation carbon,4,
funding support,4,
lighting,4,
electric car charging,4,
cycling provision,4,
new housing developments,4,
crematorium,4,
other organisations,4,
reporting period,4,
adaptation programme,4,
light fittings,4,
delivery plan,4,
average,4,
different sectors,4,
ground maintenance,4,
greener borough,4,
future homes,4,
refreshed,4,
emission reduction,4,
adaptation actions,4,
agriculture forestry,4,
freshwater ecosystems,4,
potential carbon,4,
share schemes,4,
youth climate,4,
offshore wind,4,
agricultural processes,4,
financial challenges,4,
biodiversity loss,4,
electric charging,4,
change bill,4,
grid electricity,4,
significant interventions,4,
least reduction,4,
local contribution,4,
transport waste,4,
flooding,4,1
lobby government,4,
term climate,4,
equivalent amount,4,
climate impacts,4,
vulnerable,4,
feasibility,4,
use plastic,4,
energy saving,4,
improved air,4,
delivering services,4,
respondents,4,
environmental projects,4,
carbon position,4,
electric vehicle charge,4,
recycle,4,
strategic objectives,4,
grid,4,
data sources,4,
residential buildings,4,
address fuel,4,
fly tipping,4,1
local nature recovery,4,
coming,4,
low carbon alternatives,4,
task group,4,
electric pool,4,
warmer,4,
waste reduce,4,
housing energy,4,
literacy,4,
functions,4,
population,4,
electric pool cars,4,
tree cover,4,
national average,4,
key priority,4,
region,4,
prioritise action,4,
cabinet report,4,
heat waves,4,
scatter tool,4,
progress report,4,
measure progress,4,
public sector partners,4,
emergency response,4,
national climate change,4,
determined contributions,4,
optional reporting category,4,
change risks,4,
uk commitment,4,
council work,4,
upgrade programme,4,
aspiration,4,
agenda item,4,
energy system,4,
planning policies,4,
outcomes,4,
engage,4,
growth strategy,4,
evidence base,4,
rolling programme,4,
saving,4,
international panel,4,
transport buildings,4,
change committee,4,
conservation,4,
maintenance programme,4,
footprint breakdown,4,
changes,4,
cost carbon,4,
net release,4,
building,4,
upgrade,4,
planning system,4,
reflect,4,
sustainable tourism,4,
operational emissions,4,
emissions accounting,4,
electric vehicle strategy,4,
strategic planning,4,
briefing,4,
private sector,4,
agile working,4,
business energy,4,
sustainable drainage systems,4,
clean growth strategy,4,
environment action,4,
open,4,
global sea levels,4,
influencing,4,
retrofitting,4,
local transport,4,
page foreword,4,
building energy,4,
project development,4,
strategy,4,
interventions,4,
partnership,4,
scope data,4,
global emissions,4,
performance certificates,4,
renewable electricity generation,4,
climate impact,4,
audit,4,
change agreement,4,
december,4,
staff commuting,4,
neutral borough,4,
carbon transport,4,
new projects,4,
carbon baseline,4,
reduce mileage,4,
governance arrangements,4,
insulation,4,
workshops,4,
travel plan,4,
efficient buildings,4,
change page,4,
online survey,4,
extreme weather events,4,1
hedgerows,4,
lighting columns,4,
local action,4,
legislative requirements,4,
fig,4,
change actions,4,
landfill sites,4,
alternative,4,
integrated transport,4,
manage,4,
mileage,4,
building design,4,
fulfil,4,
habitat loss,4,
resource implications,4,
travel options,4,
climate breakdown,4,
water supplies,4,
footprint scope,4,
further reduction,4,
financial savings,4,
climate assembly,4,
management plans,4,
emission baseline,4,
additional tree planting,4,
scoring criteria,4,
change commitments,4,
warm homes,4,
legislation,4,
procurement decisions,4,
flood protection,4,
support climate,4,
table summary,4,
local benefits,3,
council contribution,3,
council strategies,3,
energy systems,3,
management projects,3,
premature deaths,3,
us,3,
power council,3,
planning guidance,3,
strategy key,3,
build programme,3,
offices,3,
heating lighting,3,
initial action plan,3,
system change,3,
civic centre,3,
local carbon,3,
operational energy,3,
fifth assessment report,3,
national electricity grid,3,
efficiency improvements,3,
outline,3,
buffering,3,
cleaner air,3,
criteria,3,
additional funding,3,
global greenhouse gas,3,
energy supply,3,
uk homes,3,
partnership approach,3,
ambitious target,3,
further funding,3,
low enabling,3,
food prices,3,
areas,3,
pivotal role,3,
other issues,3,
bau pathway,3,
statutory duty,3,
smart energy systems,3,
hedgerow planting,3,
global heating,3,
devastating,3,
vulnerability assessment,3,
climate changes,3,
coastal change management,3,
reduce pollution,3,
saving devices,3,
environmental outcomes,3,
commit,3,
reduction action,3,
better cycling,3,
urban drainage systems,3,
prevention,3,
citizens assembly,3,
consumption data,3,
councillors,3,
thematic areas,3,
related risks,3,
activity data,3,
gas heating,3,
deposit return,3,
emergency mitigation,3,
half,3,
match funding,3,
national performance framework,3,
ev community,3,
pace,3,
secure energy supply,3,
degrees celsius,3,
borough level,3,
ambitious climate change,3,
own carbon,3,
council fleet,3,
successful,3,
single use,3,
total carbon footprint,3,
power purchase,3,
reduce staff,3,
borough stakeholders,3,
sector organisations,3,
live document,3,
procurement spend,3,
international commitments,3,
change projects,3,
public sector bodies,3,
plan emissions,3,
buildings infrastructure,3,
carbon plan,3,
local organisations,3,
distribution losses,3,
council transport,3,
soil formation,3,
quality improvements,3,
public sector climate,3,
aspect,3,
video conferencing,3,
management transport,3,
carbon borough,3,
associated carbon emissions,3,
local community organisations,3,
total,3,
economic activity,3,
assessments,3,
energy conservation,3,
forthcoming environment bill,3,
national government policy,3,
gas electricity,3,
single definition,3,
categories,3,
soils,3,
sustainable scotland network,3,1
global carbon neutrality,3,
planting initiatives,3,
operations,3,
refuse collection,3,
emissions estimates,3,
annual update,3,
options appraisal,3,
change framework,3,
london councils,3,
borough councils,3,
emissions actions,3,
international food production,3,
sustainable travel choices,3,
local ity level,3,
driver training,3,
council asset,3,
physical science basis,3,
current carbon,3,
vertebrates,3,
uk temperatures,3,
fact,3,
climate partnership,3,
annual reductions,3,
change summit,3,
healthy lifestyles,3,
essential infrastructure,3,
increase woodland,3,
risk assessments,3,
carbon projects,3,
global temperature rise,3,
term impact,3,
science policy,3,
new council plan,3,
limited resources,3,
coastal communities,3,
services emissions,3,
net negative,3,
respiratory diseases,3,
year lag,3,
industrial buildings,3,
local outcomes,3,
waste collection,3,
reporting governance,3,
net emissions,3,
governance,3,
environmental,3,
wider benefits,3,
increase use,3,
priority themes,3,
edinburgh climate,3,
ecological emergency action,3,
just transition,3,
solar photovoltaic panels,3,
council resolution,3,
plots,3,
wider district,3,
improve insulation,3,
improvements,3,
wider environment,3,
water saving,3,
england,3,
contributions,3,
energy advice,3,
council consumption,3,
engagement,3,
scientific evidence,3,
environmental assessment act,3,
action,3,
change sustainability,3,
kent environment strategy,3,
storm surges,3,
enable change,3,
reduction initiatives,3,
start,3,
encourage energy,3,
healthier diets,3,
scottish government target,3,
community partnership,3,
environmental standards,3,
natural habitats,3,
council footprint,3,
natural processes,3,
secure funding,3,
pandemic recovery,3,
funding bids,3,
swimming pool,3,
change goals,3,
local community groups,3,
reporting process,3,
organisational basis,3,
capital programme,3,
norfolk district,3,
emissions priority,3,
require action,3,
milder winters,3,
additional comments,3,
energy partnership,3,
travel behaviour,3,
evolving,3,
renewable technologies,3,
cycle routes,3,
installations,3,
strategic flood risk,3,
active transport,3,
lower carbon footprint,3,
improved health,3,
emission savings,3,
scrutiny committee,3,
context climate,3,
increase cycling,3,
plan scope,3,
change team,3,
impact,3,
dedicated climate change,3,
next,3,
council scrutiny,3,
priority area,3,
carbon vehicles,3,
welcome,3,
neutral pathway,3,
statutory powers,3,
council greenhouse,3,
borough land,3,
affordable warmth,3,
suffolk,3,
carbon capture,3,
energy provision,3,
yields,3,
decrease,3,
other sectors,3,
kent,3,
inclusive growth concept,3,
charging,3,
threshold,3,
evidence,3,
social housing,3,
protect,3,
net carbon dioxide,3,
change behaviours,3,
new build housing,3,
local solutions,3,
furthermore,3,
priority list,3,
sustainable carbon,3,
trajectories,3,
stirling council,3,
recycling facilities,3,
area emissions,3,
way,3,
detailed carbon,3,
recycling service,3,
national carbon reduction,3,
long term,3,
sustainable choices,3,
global national,3,
comprehensive,3,
review process,3,
site electricity,3,
sustainable living,3,
energy transition,3,
current trajectory,3,
inclusive transition,3,
heat buildings,3,
message,3,
affordable energy,3,
biodiversity strategy,3,
agreement,3,
resilient city,3,
local priorities,3,
severity,3,
ecological,3,
midlands,3,
flexible approach,3,
protecting,3,
energy security,3,
strategic framework,3,
year action,3,
parking levy,3,
staff engagement,3,
alternative options,3,
priority climate,3,
scopes,3,
progress updates,3,
natural resources,3,
council purchases,3,
emission vehicles,3,
vegetation,3,
home insulation,3,
tree policy,3,
funding options,3,
carbon targets,3,
path,3,
potential impacts,3,
green flag awards,3,
sets,3,
tree council,3,
sector energy,3,
lower risks,3,
reports,3,
foreword climate,3,
resilience plan,3,
footprint baseline,3,
poverty,3,
heat stress,3,
uk ambition,3,
renew,3,
together,3,
recent data,3,
powers,3,
future,3,
dengue fever,3,
carbon net,3,
low emissions strategy,3,
domestic sectors,3,
hybrid vehicles,3,
optimistic assessment,3,
generate,3,
baseline carbon emissions,3,
energy efficiencies,3,
emergency motion,3,
sustainability issues,3,
plan framework,3,
areas energy,3,
warwick district,3,
vehicle charge,3,
devon climate emergency,3,
increase awareness,3,
additional resource,3,
ambitious action,3,
reflects,3,
become,3,
particulate matter,3,
infrastructure,3,
scottish borders council,3,
council strategy,3,
implementation,3,
food waste,3,
reduce fuel,3,
undertake feasibility,3,
energy climate,3,
transport priority,3,
council building,3,
analyse,3,
lower carbon,3,
waste transport,3,
neutral future,3,
formats,3,
improvement measures,3,
devon climate change,3,
national legislation,3,
organisational changes,3,
future development,3,
annual reporting,3,
weather,3,
scope category,3,
woodland planting,3,
service delivery,3,
campaign,3,
process,3,
valley borough,3,
travel requirements,3,
ability,3,
natural resources wales,3,
procurement policies,3,
compliance,3,
change group,3,
flood management,3,
norfolk county,3,
utility,3,
environment emergency,3,
whole borough,3,
reduction programme,3,
environmental crime,3,
lower energy bills,3,
legislative changes,3,
sustainable homes,3,
nature action,3,
energy buildings,3,
car sharing,3,
environmental impacts,3,
scale,3,
net cost,3,
council target,3,
future reductions,3,
uk committee,3,
council development,3,
draft strategy,3,
council pledges,3,
ev,3,
external grant funding,3,
encouraging,3,
borough planning,3,
utility bills,3,
local development,3,
environmental benefits,3,
documents,3,
modern transport system,3,
reduction commitment,3,
exercise,3,
city development,3,
world resources,3,
cycle,3,
title climate,3,
carbon emission,3,
solar installation,3,
try,3,
change process,3,
strategy table,3,
baseline year,3,
statutory requirements,3,
district carbon,3,
green roofs,3,
inequality,3,
promote,3,
waste generation,3,
strategic plan,3,
project delivery,3,
annual reduction,3,
partnership working,3,
sea level,3,
council offices,3,
external funding opportunities,3,
adaptation plan,3,
gasses,3,
renewable energy capacity,3,
human health,3,
damaging climate impacts,3,
local emissions,3,
climate system,3,
change planning,3,
know,3,
council budgets,3,
emissions carbon,3,
council foreword,3,
smart meters,3,
change target,3,
replacement tree,3,
new technologies,3,
financial cost,3,
key performance indicators,3,
council land,3,
renewable energy sources,3,
planning applications,3,
carbon storage,3,
car parking,3,
council report,3,
cheshire,3,
positive outcomes,3,
table footprint,3,
reporting framework,3,
scopes scope,3,
equality act,3,
natural gas,3,
bring,3,
woodland management,3,
energy planning,3,
global sea level,3,
specification,3,
ev infrastructure,3,
additional powers,3,
climate commission,3,
ambitious targets,3,
health inequalities,3,
sequester carbon,3,
draft climate,3,
private investment,3,
council actions,3,
scottish borders,3,
statutory requirement,3,
column,3,
emissions scopes,3,
unavoidable impacts,3,
property asset,3,
report climate,3,
diseases,3,
innovative approaches,3,
energy reduction,3,
corporate plan,3,
strategy scope,3,
domestic energy efficiency,3,
sustainable cities,3,
district emissions,3,
demonstrate leadership,3,
enable delivery,3,
employee commute,3,
new build homes,3,
project basis,3,
peat bogs,3,
living document,3,
local context,3,
procurement review,3,
heat recovery,3,
local impacts,3,
livestock,3,
transport services,3,
climate agenda,3,
concepts,3,
prevent,3,
ancillary benefits,3,
financial costs,3,
march,3,
adverse impacts,3,
uk law,3,
collaborate,3,
plan report,3,
external funding sources,3,
rag rating,3,
carbon action,3,
term net,3,
nature,3,
remit,3,
council influence,3,
term projects,3,
proposes,3,
drainage systems,3,
local development framework,3,
steps,3,
external grants,3,
coastal erosion,3,
biodegradable waste,3,
conversion,3,
royal borough,3,
council support,3,
public transport network,3,
carbon environment,3,
wide climate emergency,3,
green energy,3,
emissions target,3,
mean sea level,3,
engaging,3,
quality management,3,
resilience measures,3,
city scale,3,
infrastructure levy,3,
building standards,3,
environment agency,3,
irreversible impacts,3,
national infrastructure assessment,3,
core principles,3,
capital cost,3,
sustainable way,3,
full council,3,
planting schemes,3,
producer responsibility,3,
principles,3,
partner organisations,3,
dangerous climate change,3,
ongoing maintenance,3,
city climate,3,
public transport options,3,
global average,3,
next years,3,
heating homes,3,
sustainable climate,3,
local plan policies,3,
transport actions,3,
carbon audit,3,
project register,3,
neutral action plan,3,
water management,3,
key changes,3,
net uk carbon,3,
practice,3,
carbon accounting,3,
building resilience,3,
chart,3,
reduce climate,3,
power outages,3,
sustainable transport action,3,
support community,3,
region climate,3,
local progress,3,
increase resilience,3,
policy,3,
tonne,3,
solar installations,3,
ensure council,3,
electricity procurement,3,
glasgow climate,3,
wind energy,3,
heating requirements,3,
significant challenge,3,
agricultural sector,3,
euro compliant,3,
coal,3,
transport strategy,3,
significant change,3,
low carbon energy,3,
erosion,3,
lighting replacement,3,
connectivity,3,
baseline figures,3,
key performance,3,
indicative costs,3,
identifies,3,
performance framework,3,
human activity,3,
baseline information,3,
projections,3,
sequestering carbon,3,
draft plan,3,
sustainability actions,2,
public transport modes,2,
sustainable development protocol,2,
regulatory functions,2,
total scope,2,
final,2,
hydrogen technologies,2,
influence government,2,
best practice methods,2,
automatic meter data,2,
travel policy,2,
carbon literate,2,
sustainability plans,2,
unintended consequences,2,
improved air quality,2,
council motion,2,
health,2,
originator cost,2,
additional costs,2,
adverse effects,2,
public document pack,2,
other transport,2,
low carbon growth,2,
staff climate,2,
baseline greenhouse,2,
renewable energy directive,2,
energy action,2,
economy manchester,2,
urban drainage,2,
options consultation,2,
infrared energy,2,
conservation management,2,
emissions action,2,
ambitious carbon,2,
moray council,2,
industrial process,2,
marshy grassland,2,
balanced diet,2,
climate emergencies,2,
modelling tools,2,
allotment,2,
overview,2,
county farms,2,
programme emissions,2,
pool cars,2,
plan page,2,
nutrition,2,
electricity scope,2,
property flood,2,
environmental considerations,2,
storage options,2,
mortality monitoring,2,
electric refuse,2,
potential impact,2,
nap headings,2,
extensive tree planting,2,
energy sustainability,2,
carbon report,2,
energy improvements,2,
baseline emissions,2,
progress carbon,2,
efficient driving,2,
new waste strategy,2,
